package,version
adns,1.5.1
ansible,2.8.5
apgdiff,2.4
arpack,3.7.0_3
autoconf,2.69
automake,1.16.1_1
awscli,1.16.250
bat,0.12.1
boost,1.71.0
cabal-install,3.0.0.0
cairo,1.16.0_2
clang-format,2019-01-18
cmake,3.15.4
cscope,15.9
csvkit,1.0.4
ctags,5.8_1
dashing,0.3.0
dep,0.5.4
dnstracer,1.9
docbook,5.0
docbook-xsl,1.79.1
doxygen,1.8.16
eigen,3.3.7
fd,7.4.0
fontconfig,2.13.1
freetype,2.10.1
fribidi,1.0.7
gcc,9.2.0_1
gd,2.2.5
gdbm,1.18.1
gettext,0.20.1
ghc,8.8.1
git,2.23.0_1
glances,3.1.2
glew,2.1.0
glib,2.62.1
glm,0.9.9.5
gmp,6.1.2_2
gnupg,2.2.17
gnuplot,5.2.7_1
gnutls,3.6.10
go,1.13.1
gobject-introspection,1.62.0
godep,80_23
gotags,1.4.1
gource,0.49
graphite2,1.3.13
graphviz,2.42.2
gtk-doc,1.32
gts,0.7.6_1
harfbuzz,2.6.2
htop,2.2.0_1
httpie,1.0.3
hwloc,2.0.4
icu4c,64.2
isl,0.21
jasper,2.0.16_1
jpeg,9c
jsonlint,1.6.0
lapack,3.8.0_2
ldns,1.7.1_1
libassuan,2.5.3
libcerf,1.13
libevent,2.1.11_1
libffi,3.2.1
libgcrypt,1.8.5
libgit2,0.28.3
libgpg-error,1.36
libidn2,2.2.0_1
libksba,1.3.5
libmpc,1.1.0
libpng,1.6.37
libssh2,1.9.0_1
libtasn1,4.14
libtiff,4.0.10_1
libtool,2.4.6_1
libunistring,0.9.10
libusb,1.0.23
libxml2,2.9.9_2
libyaml,0.2.2
lnav,0.8.5_1
log4cpp,1.1.3
lua,5.3.5_1
luajit,2.0.5
lzo,2.10
make,4.2.1_1
markdown,1.0.1
mbedtls,2.16.2
meson,0.52.0
mpfr,4.0.2
ncurses,6.1
netpbm,10.73.27
nettle,3.4.1
ninja,1.9.0
node,12.11.1
npth,1.6
open-mpi,4.0.1_2
openblas,0.3.7
openssl,1.0.2t
openssl@1.1,1.1.1d
p11-kit,0.23.18.1
pandoc,2.7.3
pango,1.44.6
pcre,8.43
pcre2,10.33
perl,5.30.0
pgformatter,4.0
pinentry,1.1.0_1
pixman,0.38.4
pkg-config,0.29.2
postgresql,11.4
pybind11,2.4.0
python,3.7.4_1
qt,5.13.1
readline,8.0.1
reattach-to-user-namespace,2.8
rust,1.38.0
screen,4.7.0
sdl2,2.0.10
sdl2_image,2.0.5
source-highlight,3.1.8_13
sphinx-doc,2.1.2_1
sqlite,3.29.0
tcl-tk,8.6.9_1
the_silver_searcher,2.2.0
tidy-html5,5.6.0
tig,2.4.1_1
tmux,2.9a_1
tree,1.8.0
unbound,1.9.4
valgrind,3.14.0
webp,1.0.3
webpack,4.41.0
wget,1.20.3_1
xsv,0.13.0
xz,5.2.4
zlib,1.2.11
