package,version
adns,1.5.1
autoconf,2.69
automake,1.16.1_1
awscli,1.17.8
bat,0.12.1
boost,1.72.0
cabal-install,3.0.0.0_1
cairo,1.16.0_2
clang-format,2019-05-14
cmake,3.16.3
cscope,15.9
csvkit,1.0.4_1
ctags,5.8_1
dashing,0.4.0
dep,0.5.4
docbook,5.0
docbook-xsl,1.79.1
doxygen,1.8.17
fd,7.4.0
fontconfig,2.13.1
freetds,1.1.24
freetype,2.10.1
fribidi,1.0.8
gcc,9.2.0_3
gcovr,4.1
gd,2.2.5
gdbm,1.18.1
gettext,0.20.1
ghc,8.8.2
git,2.25.0_1
glances,3.1.3
glib,2.62.4
gmp,6.1.2_2
gnupg,2.2.19
gnuplot,5.2.8
gnutls,3.6.11.1
go,1.13.6
gobject-introspection,1.62.0
godep,80_27
gotags,1.4.1
graphite2,1.3.13
graphviz,2.42.2
gts,0.7.6_2
harfbuzz,2.6.4
htop,2.2.0_1
icu4c,64.2
isl,0.22
jasper,2.0.16_1
jpeg,9d
jsonlint,1.6.0
lapack,3.8.0_2
libassuan,2.5.3
libcerf,1.13
libevent,2.1.11_1
libffi,3.2.1
libgcrypt,1.8.5
libgit2,0.28.4
libgpg-error,1.36
libidn2,2.3.0
libksba,1.3.5
libmpc,1.1.0
libpng,1.6.37
libssh2,1.9.0_1
libtasn1,4.15.0
libtermkey,0.22
libtiff,4.1.0
libtool,2.4.6_1
libunistring,0.9.10
libusb,1.0.23
libuv,1.34.1
libvterm,0.1.3
libxml2,2.9.10
libyaml,0.2.2
lnav,0.8.5_1
log4cpp,1.1.3
lua,5.3.5_1
lua@5.1,5.1.5_8
luajit,2.0.5
luarocks,3.2.1
lzip,1.21
lzo,2.10
make,4.3
markdown,1.0.1
mbedtls,2.16.4
meson,0.53.1
mpfr,4.0.2
msgpack,3.2.1
msodbcsql17,17.4.2.1
mssql-tools,17.4.1.1
ncurses,6.1_1
neovim,0.4.3
netpbm,10.86.07
nettle,3.4.1
ninja,1.9.0
node,13.7.0
npth,1.6
oniguruma,6.9.4
openblas,0.3.7
openssl,1.0.2t
openssl@1.1,1.1.1d
p11-kit,0.23.19
pandoc,2.9.1.1
pango,1.44.7
pcre,8.43
pcre2,10.34
perl,5.30.1
pinentry,1.1.0_1
pixman,0.38.4
pkg-config,0.29.2
postgresql,12.1
postgresql@11,11.6
pybind11,2.4.3
python,3.7.6_1
python@2,2.7.17_1
python@3.8,3.8.1
qt,5.14.0
readline,8.0.1
reattach-to-user-namespace,2.8
ruby,2.6.5
rust,1.40.0
screen,4.7.0
shfmt,3.0.1_1
sphinx-doc,2.3.1
sqlite,3.30.1
ta-lib,0.4.0
tcl-tk,8.6.9_1
terraform,0.12.20
the_silver_searcher,2.2.0
tig,2.5.0
tmux,3.0a
tree,1.8.0
unbound,1.9.6
unibilium,2.0.0
unixodbc,2.3.7
watch,3.3.16
webp,1.1.0
wget,1.20.3_2
xz,5.2.4
zlib,1.2.11
