package,version
applicationinsights,0.11.9
appnope,0.1.0
astroid,2.3.3
backcall,0.1.0
backports.csv,1.0.7
beautifulsoup4,4.8.2
bokeh,2.0.0
bs4,0.0.1
certifi,2019.11.28
chardet,3.0.4
cli-helpers,0.2.3
Click,7.0
configobj,5.0.6
cycler,0.10.0
decorator,4.4.2
enum34,1.1.10
et-xmlfile,1.0.1
flake8,3.8.3
future,0.18.2
greenlet,0.4.15
humanize,2.1.0
idna,2.9
inflection,0.3.1
ipdb,0.13.2
ipython,7.15.0
ipython-genutils,0.2.0
isort,4.3.21
jdcal,1.4.1
jedi,0.17.0
Jinja2,2.11.1
kiwisolver,1.2.0
lazy-object-proxy,1.4.3
Markdown,3.2.1
MarkupSafe,1.1.1
matplotlib,3.2.1
mccabe,0.6.1
more-itertools,8.2.0
msgpack,1.0.0
mssql-cli,0.18.2
numpy,1.18.4
openpyxl,3.0.3
packaging,20.3
pandas,1.0.4
panel,0.9.3
param,1.9.3
parso,0.7.0
patsy,0.5.1
pexpect,4.8.0
pickleshare,0.7.5
Pillow,7.0.0
pip,20.1.1
pluggy,0.13.1
ply,3.11
prompt-toolkit,3.0.5
psycopg2,2.8.4
ptyprocess,0.6.0
pycodestyle,2.6.0
pyct,0.4.6
pyflakes,2.2.0
Pygments,2.6.1
pylint,2.4.4
pyls,0.1.6
pynvim,0.4.1
pyodbc,4.0.30
pyparsing,2.4.7
python-dateutil,2.8.1
python-jsonrpc-server,0.3.4
python-language-server,0.33.0
pytz,2020.1
pyviz-comms,0.7.4
PyYAML,5.3.1
Quandl,3.5.0
requests,2.23.0
scipy,1.4.1
seaborn,0.10.1
setuptools,47.1.1
six,1.15.0
soupsieve,2.0
sqlparse,0.2.4
statsmodels,0.11.1
TA-Lib,0.4.17
tabulate,0.8.7
termcolor,1.1.0
terminaltables,3.1.0
tornado,6.0.4
tqdm,4.43.0
traitlets,4.3.3
typing-extensions,3.7.4.1
ujson,1.35
urllib3,1.25.8
wcwidth,0.2.2
wheel,0.34.2
wrapt,1.12.1
xlrd,1.2.0
