package,version
appdirs,1.4.3
appnope,0.1.0
astroid,2.2.5
attrs,19.1.0
autopep8,1.4.4
backcall,0.1.0
black,19.3b0
bokeh,1.3.0
boto,2.49.0
boto3,1.9.197
botocore,1.12.197
certifi,2019.6.16
chardet,3.0.4
Click,7.0
cycler,0.10.0
decorator,4.4.0
docutils,0.15.1
gnupg,2.3.1
gr,1.10.0
idna,2.8
ipdb,0.12.1
ipython,7.7.0
ipython-genutils,0.2.0
isort,4.3.21
jedi,0.14.1
Jinja2,2.10.1
jmespath,0.9.4
joblib,0.13.2
jsonschema,3.0.1
jupyter-core,4.5.0
kiwisolver,1.1.0
lazy-object-proxy,1.4.1
llvmlite,0.29.0
MarkupSafe,1.1.1
matplotlib,3.1.1
mccabe,0.6.1
mpmath,1.1.0
nbformat,4.4.0
numba,0.45.0
numpy,1.17.0
packaging,19.0
pandas,0.25.0
parso,0.5.1
patsy,0.5.1
pep8,1.7.1
pexpect,4.7.0
pickleshare,0.7.5
Pillow,6.1.0
pip,19.2.1
plotly,4.0.0
prompt-toolkit,2.0.9
psutil,5.6.3
psycopg2,2.8.3
ptyprocess,0.6.0
pycallgraph,1.0.1
pycodestyle,2.5.0
pyflakes,2.1.1
Pygments,2.4.2
pylint,2.3.1
pyparsing,2.4.1.1
pyrsistent,0.15.4
python-dateutil,2.8.0
python-markdown-math,0.6
pytz,2019.1
PyYAML,5.1.1
requests,2.22.0
retrying,1.3.3
rope,0.14.0
s3transfer,0.2.1
scikit-learn,0.21.2
scipy,1.3.0
seaborn,0.9.0
setuptools,41.0.1
six,1.12.0
sklearn,0.0
statsmodels,0.10.1
sympy,1.4
toml,0.10.0
tornado,6.0.3
traitlets,4.3.2
typed-ast,1.4.0
urllib3,1.25.3
wcwidth,0.1.7
wheel,0.33.4
wrapt,1.11.2
